tweet_preprocessed;label
sikap terlalu yakin menang tonton ahok mjd blunder meremehkn lawan adl sumber kalah mnyakitkan;Negatif
bagai mana g usah debat seperti biasa biasa;Netral
kasihan paslon mulai gak anggap paslon;Negatif
dukung rantau mang pramono anung bantu bangun hubung kuat antar komunitas jakarta kerjasama antar komunitas kunci capai sejahtera sama;Positif
pramono anung juang bangun kota lanjut prioritas aspek lingkung langkah penting masa depan jakarta lebih baik;Positif
wuahhh pak antasari azhar;Netral
analisis drone emprit cagub dki jakarta sejak pasca debat oktober siapa potensial menang pilgub dki;Netral
mas pram ganti pak teddy baik hati;Positif
jakarta polusi mas pram bilang pilih nomor biar makin sehat asri;Positif
mas laku silaturahmi tokoh masyarakat cengkareng hilton garden inn jakarta taman palem cengkareng barat acara mas serap aspirasi masyarakat kait jumlah isu lingkung tempat;Positif
anies gubernur baru buat perda syariah keliru oke fix pak anies kata perda syariah;Negatif
udah nonton debat dua cagub jakarta malam moms;Netral
abang no oce oke satu jatuhin ehh backup no maksud luas;Negatif
sandiaga terima kasih pak djarot;Positif
anies baswedan nonton konser john legend nonton debat perdana pilgub dki jakarta mantan gubernur dki jakarta anies baswedan tonton konser john legend anies rencana tonton debat perdana pilgub dki jakarta;Positif
yak serang trooosss;Negatif
sebar hoak kena batu;Negatif
anies baswedan absen debat pilgub dki malam hadir konser john legend dapat kalian;Positif
pramono anung bangun jaring dukung kuat bagai komunitas masuk warga mang tunjuk beliau utama kolaborasi pimpin jakarta;Positif
semangat koko ahok;Positif
paling ready sih tau data segala macem jawab tohok banget banyak benernya;Positif
terimakasih warga jakarta;Positif
pramono anung komitmen jadi jakarta kota ramah sandang disabilitas sedia akses pada warga hak dapat akses sama;Positif
ini sentimen psi publik ganjar pranowo bibit waluyo had prabowo;Negatif
live debat tiga pilkada jakarta rksuswono dharmakun pramonorano adu gagas saksi debat;Netral
dukung no yakin no kurang angka miskin penganguran;Positif
alhamdulillah minggu kang acep sama kh maruf amin keluarga besar pkb ziarah makam sunan gunung jati ziarah jadi momen penuh makna sekaligus ajang silaturahmi sama mantan wakil presiden kh maruf amin;Positif
foundationnya bu silvy sekarang tonenya lebih turun beberapa gak kabuki look;Negatif
debat cagub kali dunia usaha akomodasi;Netral
pramono anung juang adil sosial beri perhati khusus butuh warga mang jakarta komitmen tingkat sejahtera;Positif
yo anies ga ikut menjarain ahok gemborin politik identitas prabowo jokowi even ahok bilang siapa jadiin napi dulu pas pilgub dki even anies ga guna isu sara bahan debat wawancara baren;Negatif
beberapa program unggul paslon cagubcawagub dki jakarta debat tadi malam sobat baca mana nih program paling butuh warga jakarta;Positif
ayo menghayal;Netral
pak ahok pak foke mantan gub dki lanjut pak anies baswedan mantan gub dki sama mas pram bang doel anies baswedan mas pram bang doel satu fix insyaallah menang satu putar pilgub dki;Positif
pramono anung percaya olahraga jadi alat dorong kreativitas kalang anak muda libat bintangbintang persija harap inspirasi generasi muda prestasi bidang cinta;Negatif
siang;Netral
pramono perintah daerah kontribusi dorong kembang wisata religi jakarta misal sedia akses transportasi hingga fasilitas lebih baik;Positif
pilih pimpin erti masalah jakarta cuma bapak solusi;Positif
pasang anggap mampu wakil aspirasi nilai jalan muhammadiyah utama kait agam bangun lanjut kuat nilai agama;Negatif
langsung lokasi nobar debat cagub;Netral
debat pilgub dki siapa paling layak jadi gubwagub dki;Netral
debat amerika bahas masa depan debat indonesia saling nyinyir smh;Negatif
ohhhh teori teori;Negatif
ada tanda kau ragu wahai mana kau bilang anak abah dukung jubir abah pasti anies dukung mas pram bang doel;Negatif
nonton konser john legend anies baswedan nonton debat perdana pilgub dki jakarta;Positif
panitia fakultas serius gedung soedarto dekorasi keren bangeett sampe bikin pangling;Positif
pak anies kok pasang gak ajak ngomong;Negatif
baru pertama mention masuk pasang ganjar heru menang telak pertama;Netral
beda lebur mas prambang doel jakarta lebih nyala;Negatif
harap anies menang pilpres harap timnas lolos fase grup piala asia sulit kalau ajaib kata anies debat pilgub dki sekarang tinggal serah nyata juang harap;Positif
pilgub dki tuh contoh jelas kualitas anies dukung nya iming janji manies realisasi nya kampanye guna politik identitas sekarang bekas luka debat lawan ahok;Negatif
sersan serius santai delook debatcagub orastrees;Negatif
betul sekali pak pramono sistem zonasi banyak keluh bukan pihak sekolah masyarakat moga baik    anies bahrain pagipagi sri mulyani israel;Negatif
ahok salah data nyebut ranking kemdikbud padahal rank udah keder pensiun hok d;Negatif
ayo lihat sekarang biar tanggung jawab hak pilih mu pilgub jatim;Positif
juru bicara sahrin hamid ungkap alas eks gubernur dki beri dukung sebut beri dukung dasar prioritas dua thd masyarakat miskin jadi titik sama;Negatif
pramono anung komitmen dukung produk lokal pasar minggu beri tempat rajin produsen lokal harap tingkat daya saing produk lokal kuat ekonomi daerah;Positif
betawi punya;Netral
ahok pernah bilang kalah pilkadapun kecewa jabat amanah kecewa;Negatif
kaum millenial jangan golput guna hak suara milenial coblos nomor mas pram bang doel tahu mau kaum milenial senin banteng wendy goty semi private prilly psht dian sastrowardoyo ppn sub indo;Positif
vs nabok kuat d;Negatif
haha tanya soal tata kota didik pasang bissa gagal jawab tepat;Negatif
seru kang acep keluarga belanja batik cirebon jangan lupa bahagia sama pilih no;Positif
dukung rantau mang kuat tali saudara komunitas jakarta percaya satu kunci capai maju lebih besar;Positif
calon wakil gubernur jakarta nomor urut rano karno tanggap nyata calon wakil gubernur jakarta nomor urut suswono calon wakil gubernur nomor urut kun wardana soal masalah kerja gen saksi;Netral
mas pram bang doel pilih warga jakarta pramdol mnang senin banteng wendy goty semi private prilly carok psht dian sastrowardoyo ppn sub indo;Positif
tepuk tangan buat pasang nomer urut;Positif
giur bujuk pilres kok jawab wakil yaaaaa;Negatif
macam evaluasi kerja kemas hebat ber jawab data bikin anies emosi;Negatif
cagub nomor urut pramono anung sapa ratus warga kawasan cipinang besar utara jakarta timur senin masa kampanye pramono terus datang bagai lokasi seluruh wilayah jakarta temu masyarakat dengar aspirasi rakyat;Positif
tujuh poin penting awas bawaslu debat pilkada;Netral
rano karnovmendapat sorot tajam kait pimpin jabat gubernur banten debat dua pilkada jakarta minggu n;Negatif
pramono anung fokus cipta lingkung aman semua warga tingkat aman publik hidup lebih tenang;Positif
evaluasi kait hadir anakanak masuk area debat pertama pilgub jakarta kini kpu dki larang anakanak masuk area debat dua;Netral
mas pram grogi apit emak tangan pose bak main bola jagain tendang bebas lipat dada kes arogan biar bebas takut sentuh belah kiri kanan lihat lucu salut;Positif
pramono anung komitmen cipta ruang aman masyarakat olahraga pasti semua orang rasa nyaman aman partisipasi giat olahraga jakarta;Positif
konser tengah kampanye fokus tonton memang pecah;Positif
didik penting ridwan kamil didik gratis sma;Positif
rawan anies sandi hadir debat cagub dki;Negatif
rido menang sedia juta lapang kerja;Positif
konfederasi serikat kerja seluruh indonesia deklarasi dukung menang mas pram bang doel jakarta buruh bongkar muat labuh jakarta siap menang mas pram bang doel;Positif
sih ngejelekin pak aniessandi kalo gak suka biasa gak usah ngejelekin ngetweet;Negatif
ajang gengsi ajang unjuk gigi bukan unjuk hati sesuai nurani   ;Negatif
kata buat indonesia liat twitter fb pasca debatcagub sedih;Negatif
closing statement tadi mungkin besok demo besar;Negatif
calon wakil gubernur jakarta dharma pongrekun penuh emosional sampai pandemi agenda selubung pihak asing;Negatif
soal pilgub dki selalu jadi highlight isu nasional debat pilgub masuk tv nasional;Netral
jelas konkret mas pram bang rano terima semua kalang belah sih sibuk mepet artis mulu yee;Negatif
jadi calon pimpin kok sombong sih;Negatif
mosok seh kak tentu jawa timur cawagub;Negatif
calon gubernur jakarta nomor dharma pongrekun minta masyarakat lihat isu isu asli rupa infiltrasi asing lewat isu sehat lewat pandemi;Negatif
uppsspak anies;Negatif
aliansi masyarakat sunda jakarta dukung mas pram bang doel pilkada jakarta aliansi rupa kumpul lebih komunitas warga sunda jakarta kompak deklarasi dukung mas pram rano;Positif
pramono anung milik visi jelas jakarta perhati butuh masyarakat tunjuk calon pimpin paham tantang hadap warga;Positif
pramono anung bangun jakarta jadi kota ramah olahraga bagai inisiatif program harap tarik lebih banyak orang aktif olahraga nikmat giat fisik;Positif
nyala abangkuuuu;Positif
hot jakarta bijimana paslon belah gak ketar tir kalo begini fakta tren pilih cagub cawagub dki jakarta pihak mas pram bang doel;Negatif
hot jakarta aliansi buruh labuh satu suara dukung mas pram bang doel pimpin dki jakarta makin menyalaaa;Positif
anies baswedan nonton konser john legend nonton debat perdana pilgub dki jakarta;Netral
kpu dki segera bahas lokasi tema debat dua pilgub jakarta;Netral
paslon cagub cawagub nomor urut pilkada jakarta pramono anung rano karno tiba lokasi debat dua pilkada jakarta hari;Netral
niy blazer mbak jadul niy debatcagubsalahfokus;Negatif
hbs nonton debat ahok paling pny mampu pimpin jakarta muslim tk blh pilih hrp menang;Negatif
pdip sudahabis difactory reset jadi kubu mulyono pilgubdki jadi calon kada vs kotakkosong;Negatif
anies sama keluarga saksi konser nyanyi tulis lagu asal amerika serikat john legend tepat hari rupa debat perdana pilgub dki jakarta anies rencana hadir;Netral
tari ahok seliwer dunia maya;Negatif
kpu dki jakarta kata teknis debat dua pilgub jakarta tak banyak ubah nanti enam sub tema tema ekonomi sejahtera sosial;Netral
pramono tunjuk penting fasilitas dukung taman akses guna warga tingkat fasilitas jadi taman lebih tarik;Positif
tanggap tanya pramono anung soal bangun disneyland ridwan kamil jawab tugas pimpin imajinasi usaha duduk diam cari aman;Negatif
ridwan kamil serta wakil janji kait phk gen jakarta tambah beri kopi gratis gen jakarta;Netral
tertib apk panwascam ppk pkd pps se camat gajah pilkada serentak tahun selasa november;Netral
anies sikap tegas distributor narkoba lembut kpd korban;Positif
hasil survei debat kemarin;Netral
kirain alianai masyarakat sunda jakarta dukung rk nyata dukung mas pram bang doel gerangan;Negatif
tarung pasang jalan pasang calon baru jalan;Netral
mention masuk hampir semua milih ganjar paling mantep sesi pertama;Positif
next lanjut dunia per trendingan ridwan kamil sekarang trending;Netral
jwbnya pas setdknya realistis mas ganjar;Positif
pramono bawa catat kecil debat perdana pilgub jakarta sontek calon gubernur provinsi dki jakarta nomor urut tiga pramono anung tampak bawa catat kecil atas panggung debat perdana pilgub jakarta minggu;Netral
penuh semangat keluarga bismillah;Positif
papar gagas baik jelas ukur u bangun jkt;Netral
renovasi pasar minggu fokus lestari budaya lokal pramono anung rencana tampil produkproduk lokal cermin kaya budaya jakarta kuat identitas daerah;Positif
netizen rindu ira koesno jadi moderator debat;Positif
sindir agus ahok gubernur dki pangkat letjen;Negatif
wadidaaww jadi nih kok semua ketua partai dukung tolak hadir kampanye akbar rk sih masa cuma wakil sama bendera partai ajah rugi dong suzuki arab arhan garuda nathan lisa jakarta bahrain asia rcti;Negatif
rido paket komplit komplit ribet semua jakarta boss mau pake ribet daahh mau mau jakarta nyala ha ha ha ha ha;Netral
pramono anung hasil bangun suasana positif acara mana emakemak rasa nyaman sampai harap kualitas pimpin patut contoh;Positif
program ahokdjarot paling bagus paslon;Positif
bingung bingung kalau memang baik pecat pak;Negatif
debat pilgub dki jakarta rk ahok gubernur paling brutal gubernur paling banyak gusur datang partai mas pram pak ahok gusur kasus jj riza gubernur paling brutal gusur pak ahok partai mas pram bang doel kata;Negatif
pasang calon gubernur wakil gubernur nomor urut ridwan kamilsuswono tiba jiexpo mayor jakarta pusat minggu oktober ikut debat perdana pilgub dki dukung pasang calon nomor urut pramono anungrano karno nyanyi yelyel;Netral
bukan ira koesno sekarang tina talisa dua sama cowok;Netral
tiga calon gubernur wakil gubernur jakarta sampai wawas adu gagas kali tema bahas ekonomi sejahtera sosial;Netral
pimpin tak melek data bahaya nih kacau;Negatif
baru butuh air bersih jakarta penuh sisa digaspol mas pram bang doel akhir jabat no kaga ribet dah;Negatif
bagi paling serru nih pic;Netral
soto bandoeng rasa pilkada ibukota;Netral
pramono tekan penting aman nyaman ruang publik pasang cctv cahaya baik cipta suasana aman;Positif
pake peci kalo pilih doang kalo udah lepas;Netral
anies pak ahok jakarta utara kalah biak;Negatif
cagub jakarta nomor urut dharma pongrekun siap transportasi integrasi pulau ribu solusi ekonomi;Positif
jawab pramono rano pariwisata ekonomi kreatif debat dua plgub jakarta pramono rano siap bantu promosi umkm saing domestik maupun global;Positif
cawagub jakarta nomor urut kun wardana kata konsep zonasi jalan baik daerah punya jumlah sekolah rata;Positif
urang sunda pilih calon bukti benar kerja tolak calon cuma jo;Positif
dulu pas jg debat pilgub dki pas jawab bagus kliatan cuma jis hampir gada manfaat buat warga;Negatif
sekolah gratis sma baik swasta maupun negri;Positif
makin kesini makin yakin makin jelas tekad bhw pilih warga tgr;Positif
ingat waktu debat tau nya bapak nilai akhir pak prabowo menang om pilgub dki ademadem;Positif
pimpin pramono anung ga dua pimpin sangat butuh masyarakat butuh solusi bukan imajinasi;Negatif
perlu bukti bukan janji warga dki badja memang top;Positif
paslon kanan kiri bisa nyindir aje sama kayak dukung tl sosmed;Negatif
ridwan kamil yakin jakarta jadi contoh generasi emas jakarta butuh rido;Positif
pramono anung paham jakarta sedang alami ubah besar rencana jadi bintang persija ikon wisata upaya cipta ikat kuat masyarakat budaya;Positif
suasana hingga kata cagub cawagub jelang debat tiga pilgub jakarta;Netral
cagub pramono anung kaji ulang atur karena ada ketidakadilan sistem zonasi sekolah;Positif
semua visi komitmen pramono anung sosok pimpin inspirasi semua warga jakarta dukung langkahlangkahnya wujud jakarta lebih baik;Positif
inga coblos no buat;Netral
bukan sekadar slogan buah komitmen utuh bawa ubah positif jakarta warga;Positif
adoh anies nyinyir mulusukur dibales ahok juara hahaha;Negatif
pramono anung bakal dukung kembang wisata religi jakarta jakarta calon gubernur jakarta pramono anung laku ziarah makam habib husein kawasan luar batang jakarta utara kamis;Positif
no urut brapa pilih depok;Netral
cie anak debat p alas calon dateng debat lebih baik sama braya debatcagub;Netral
paslon jari dong;Netral
yasamaaannn esp bilang program sekolah gratis kuno;Negatif
kalo bca komen teringet debatcagub dulu gegara omong bnara skrng pak gub gimane tu;Netral
jadi pertanyaanya vid;Netral
ayo pak ahok pak djarot semangat gue gue;Positif
doa ibu restu ibu kunci utama;Positif
rencana renovasi pasar minggu pramono anung dorong kewirausahaan kalang masyarakat sedia ruang fasilitas pada harap bantu masyarakat mulai usaha sendiri;Positif
laku paslon satu anak abah ahokers mas pram punya beban masa lalu luka pilkada riang gembira mike tyson ayu ting ting mulia suporter arab;Negatif
hadeuh kang;Netral
tv wisma tetap nonton hp mungil multi fungsi;Netral
bukan cuma janji ilmu mas pram bahas visi unj libat akademisi bijak jakarta yuk dukung nomor;Positif
kolam habis lhooo laut kan luas mas;Netral
hasil survei baru smrc pasang pramono anung rano karno unggul atas paslon lain;Positif
lawa hari paslon jadi tengah bu silvy diisengin pak anies;Netral
resident evil biohazard part jangan tonton game baik tonton;Netral
banyak boros kata;Negatif
yakin jawab no doang ngambang banyak janji;Negatif
iyo jok lali pilih no mosok seh kak tentu jawa timur cawagub;Netral
udeh nyerah mas pram paslon no ridwan kamil buka juta lapang pekerjaansedangkan mas pram cuma rb jauh sekali level mas;Negatif
status orangorang buleleng beranda fb semua adi;Netral
pramono anung ajak masyarakat partisipasi aktif proses renovasi pasar minggu libat warga ambil putus tunjuk pimpin baik kolaborasi demokrasi;Positif
jadi penilaijuri vote lalu twitter;Netral
kpu dki minta masuk isu transparansi publik tema debat pilgub;Positif
disabilitas jakarta dukung bapak pramono anung gubernur daerah khusus jakarta;Positif
jangan lupa tanggal november coblos nomor mas bang;Netral
kata dukung parte kampanye akbar hadir satu perte duhe ridwan kamil;Netral
walah kang ridwan kamil nyerang bang doel pakai data salah ;Negatif
survei jakarta research center jrc sebut ahmad riza patria bakal jadi kuda hitam pilgub dki lengkap;Netral
rendah lawan tinggi diri sendiri bkn sikap baik seorg calon pimpin;Negatif
jelang debat kandidat doa mulut comberan ahok;Negatif
tak beking kuat tak embelembel amunisi cukup ide gagas janji lanjut program gubernur belum cukup buat rakyat percaya amanah jaga pramonorano jadi gubernurwagub jakarta;Negatif
doa mas menang putar;Positif
program pak pram n bang rano rupa program kerjan usung bangun masyarakat utama tengah bawah dian sastrowardoyo ppn carok sampang;Positif
cara redam riuh pilkada;Netral
moga debat akhir feb lebih baik sekarang;Positif
bismillah menang satu putar;Positif
nganggurnya nonton debat pilgub dki jakarta sambut debat pilgub dki jakarta jiexpo mayor jakpus byredaksi bksol wib polda metro jaya kerah personel aman debat perdana pilgub dki;Netral
ridwan kamil proposes demokrasi pimpin as a model for governing jakarta;Positif
cagub jakarta nomor urut ridwan kamil tanya cawagub jakarta nomor urut rano karno soal index bangun manusia banten sampai debat cagub cawagub jakarta hari;Netral
debat pilkada semangat ahokdjarot manado;Positif
segmen akhir sama presscon asumsi digunain kalau menang mulu kalah gimana pak anies;Netral
debat cagubcawagub dki kpu dki jakarta abai realitas sosial;Negatif
perang yelyel nih pas awal sampai visi misi chakep;Netral
aduh bang doel masa tega bener bilang banten aneh ngurus banten kewalahan curhat debat kok maju jakarta udah bang nyerah udah paling pas rido pimpin jakarta;Negatif
pilih pastipasti wae fokus bukti bukan janji halhal ukur bukan retorika ilusi;Positif
calon wakil gubernur cawagub jakarta nomor urut kun wardana abyoto kata kondisi warga jakarta terus terhimpit daya beli masyarakat terus turun;Netral
istirahat malam hari tonton final debat calon gubernur dki jakarta googoogo;Netral
bagi paling serru nih;Positif
udah nyerah bang doel wkwkwk;Netral
mantap jakarta makin nyala;Positif
naah kan gimana jadi orang nomor jakarta wong makan khas jakarta kaga paham;Netral
cawagub jakarta nomor urut rano karno bicara soal masalah kerja anak muda jakarta bang doel populasi gen sangat besar perlu buat guidanceguidance penjuru potensi kembang saksi;Positif
calon gubernur daerah khusus jakarta pramono anung hadir deklarasi dukung dpd konfederasi serikat kerja seluruh indonesia kspsi mas prambang doel gedung joang menteng kota jakarta sabtu;Positif
siap nonton debat ayo warga jakarta pilih hati akal budi;Netral
pak eko tanya masalah transportasi pasang no jawab tanggungjawab pusat;Netral
rangking;Netral
mas pram mampu satu kuat besar jakarta ahok basuki tjahaya purnama sama ahokers anies baswedan sama anak abah jadi daya ledak elektoral duet mas pram bang doel pilkada jakarta;Positif
betul pdhl pas demo besar pertama meski undang anies datang pernah statement apa anies soal hny debat pilgub dki kala he stay silent and distance h;Negatif
calon gubernur jakarta nourut target pipanisasi selesai jakarta persen tahun lebih sistem sedia air minum spam jadi andal jatiluhur krayan;Positif
sesi tampil gemilang tetap;Positif
rantau mang bukti diri komunitas solid beri dukung penuh pramono anung kuat jadi inspirasi komunitas jakarta;Positif
pak basuki salah omong;Negatif
leh uga nih acara;Netral
kyaaa kyaaaa bang sandiiiii;Positif
debat pilgub dki kereta gantung vs roh layang;Netral
pramono anung tekad pasti akses olahraga sedia semua lapis masyarakat kurang hambat semua orang nikmat manfaat olahraga;Positif
ini sentimen persepsi publik ganjar pranowo bibit waluyo had prabowo;Netral
maju ahokdjarot;Positif
anies reformasi birokrasi jalan cepat suasana kerja positif n target jelas;Positif
ibu silvy jawab ibu tarik tapiii nyambung bu said pak anies makjleebb bangeet;Positif
pramono anung milik misi daya ekonomi lokal bantu laku usaha masuk asal warga mang strategi cerdas tumbuh ekonomi;Positif
paling tunggu debat cagub dki memenya;Positif
gugub selesai jelas waktu habis;Netral
pak anies segera beri kaca nih;Netral
dukung pramono anung rantau mang usaha bangun ekosistem usaha sehat lanjut jakarta pasti laku usaha lokal dapat perhati layak;Positif
dekat sahabat penuh humor pramono anung tunjuk pimpin selalu serius suasana cipta buat masyarakat rasa lebih dekat;Positif
enak jadi warga jakarta kalau mas pram bang doel jadi gubernur wakil gubernur makanya tanggal november jangan salah pilih coblos no;Positif
